scan	exclude	SubjID	GSRs_CPu_CPu	GSRs_MOp_MOp	GSRs_S1bf_S1bf	GSRs_S1bf_ACA	GSRs_S1bf_cat
sub-rat001_task-rest_run-01_bold	no	sub-rat001_task-rest_run-01_bold	0.14893015993128303	0.3698384894103056	0.06077478917403165	-0.027225769231264733	No
sub-rat001_task-rest_run-02_bold	no	sub-rat001_task-rest_run-02_bold	0.19488716596139152	-0.23081140138348497	0.3504943869866367	0.2780897116393049	Unspecific
sub-rat001_task-rest_run-03_bold	no	sub-rat001_task-rest_run-03_bold	0.207375277601766	0.15507090290010728	0.12827924315173314	-0.005135877390741	Specific
sub-rat001_task-rest_run-04_bold	no	sub-rat001_task-rest_run-04_bold	0.07910236442955129	0.030676460849695105	0.16277992941795869	0.1850213193352861	Unspecific
sub-rat002_task-rest_run-01_bold	yes	sub-rat002_task-rest_run-01_bold	-0.013664011715530238	0.14627602415363367	-0.008444136451122332	-0.001679915975539206	No
sub-rat002_task-rest_run-02_bold	yes	sub-rat002_task-rest_run-02_bold	-0.02670428075697884	0.0825142269572407	0.045914833001931034	0.05674605886588214	No
sub-rat004_task-rest_run-01_bold	no	sub-rat004_task-rest_run-01_bold	0.13366943420474672	0.03180076705324814	0.12547969284979194	0.18091254375477916	Unspecific
sub-rat004_task-rest_run-02_bold	no	sub-rat004_task-rest_run-02_bold	0.20948469858640323	0.20370306318701492	0.07980633312314524	0.03850603480726476	No
sub-rat006_task-rest_run-01_bold	no	sub-rat006_task-rest_run-01_bold	0.10974415421138302	0.08045117420378636	0.26154182969295625	0.10944378220611381	Unspecific
sub-rat006_task-rest_run-02_bold	no	sub-rat006_task-rest_run-02_bold	0.1724163848701395	0.03740721730419656	0.274481987734314	0.14028033427183234	Unspecific
sub-rat007_task-rest_run-01_bold	no	sub-rat007_task-rest_run-01_bold	0.026017753442538278	0.2044058402804762	0.1456233600317173	0.03179159829576136	Specific
sub-rat007_task-rest_run-02_bold	no	sub-rat007_task-rest_run-02_bold	-0.12086033913651165	0.2802170168663415	0.2464323755139334	0.10057841046411198	Unspecific
sub-rat009_task-rest_run-01_bold	no	sub-rat009_task-rest_run-01_bold	0.017092679150251703	0.3936365201850474	0.015620607652505709	0.033990483743454675	No
sub-rat009_task-rest_run-02_bold	no	sub-rat009_task-rest_run-02_bold	0.08975670541492381	0.2933553043767558	0.14564033323319062	0.20054001941539848	Unspecific
sub-rat010_task-rest_run-01_bold	no	sub-rat010_task-rest_run-01_bold	0.05180173554402073	0.2840085111844348	0.06370632425115119	0.19952758122295525	Spurious
sub-rat010_task-rest_run-02_bold	no	sub-rat010_task-rest_run-02_bold	-0.004855836226238326	0.06983881061775457	-0.06479514557577898	0.05872546867799483	No
sub-rat011_task-rest_run-01_bold	no	sub-rat011_task-rest_run-01_bold	0.1466486188025397	0.16217071823700718	0.23599725293891788	-0.042471630078047835	Specific
sub-rat011_task-rest_run-02_bold	no	sub-rat011_task-rest_run-02_bold	-0.04195765955904351	0.09138431982948726	-0.07229744458203716	0.11270814477398651	Spurious
sub-rat011_task-rest_run-03_bold	no	sub-rat011_task-rest_run-03_bold	0.2962560648903538	0.14687602666549665	0.40199111899630796	0.25281175291206387	Unspecific
sub-rat011_task-rest_run-04_bold	no	sub-rat011_task-rest_run-04_bold	0.13810607922138593	0.078120654162913	0.12757497587639974	-0.1319658573775763	Specific
sub-rat012_task-rest_run-01_bold	no	sub-rat012_task-rest_run-01_bold	0.10462783904370362	0.21754802676318533	0.3605494082009582	-0.08196402337792782	Specific
sub-rat012_task-rest_run-02_bold	no	sub-rat012_task-rest_run-02_bold	0.1484187302584426	0.11957360931585415	0.05356391807181548	0.0441259882732408	No
sub-rat012_task-rest_run-03_bold	no	sub-rat012_task-rest_run-03_bold	0.004570205152262985	0.3724971595991675	0.09769855453533241	0.052500961503962724	No
sub-rat012_task-rest_run-04_bold	no	sub-rat012_task-rest_run-04_bold	0.09895819316306856	0.502056593059987	0.05825402069270384	0.03827448698016422	No
sub-rat013_task-rest_run-01_bold	no	sub-rat013_task-rest_run-01_bold	-0.1475245926943598	0.0423513234154818	0.027498200991659165	-0.006377193225813353	No
sub-rat013_task-rest_run-02_bold	no	sub-rat013_task-rest_run-02_bold	0.015533995486335463	0.24226759216282387	0.06974804184311692	0.08779683967718716	No
sub-rat013_task-rest_run-03_bold	no	sub-rat013_task-rest_run-03_bold	-0.09084252735288059	0.12205438262807247	0.25303689932918794	-0.02035894018447901	Specific
sub-rat013_task-rest_run-04_bold	no	sub-rat013_task-rest_run-04_bold	0.09197257175350898	0.17927830895621744	0.31848516538436683	0.1027022789648576	Unspecific
